調査年,地域 コード,地域,総面積【ｈａ】,可住地面積【ｈａ】,年平均気温,最高気温,最低気温
2016年度,0,全国,"37,296,831","12,263,155",-,-,-
2016年度,1000,北海道,"7,842,076","2,237,237",9.3,28.3,-5.9
2016年度,2000,青森県,"964,556","322,962",11,28.7,-3
2016年度,3000,岩手県,"1,527,501","371,401",11.2,30.5,-3.6
2016年度,4000,宮城県,"728,222","315,483",13.5,29.9,-0.8
2016年度,5000,秋田県,"1,163,752","320,437",12.5,31.4,-1.7
2016年度,6000,山形県,"932,315","288,480",12.7,31.4,-2.1
2016年度,7000,福島県,"1,378,374","421,702",14.2,31.6,-0.6
2016年度,8000,茨城県,"609,712","397,492",14.8,30.5,-1
2016年度,9000,栃木県,"640,809","298,276",14.8,31.4,-1.6
2016年度,10000,群馬県,"636,228","227,936",15.6,31.5,-0.2
2016年度,11000,埼玉県,"379,775","258,464",15.9,32.3,-0.5
2016年度,12000,千葉県,"515,764","355,436",16.8,31.2,3
2016年度,13000,東京都,"219,100","141,847",16.4,31.6,1.8
2016年度,14000,神奈川県,"241,592","147,068",16.9,31.3,3.4
2016年度,15000,新潟県,"1,258,418","453,535",14.5,31.1,0.7
2016年度,16000,富山県,"424,761","184,282",15.2,31.3,1
2016年度,17000,石川県,"418,609","139,186",15.7,31.8,1.5
2016年度,18000,福井県,"419,049","107,727",15.6,32.3,1
2016年度,19000,山梨県,"446,527","95,438",15.7,33.4,-2.3
2016年度,20000,長野県,"1,356,156","322,552",13.1,31.9,-3.8
2016年度,21000,岐阜県,"1,062,129","221,113",16.9,34.3,1.7
2016年度,22000,静岡県,"777,743","274,949",17.6,32.3,2.3
2016年度,23000,愛知県,"517,290","298,819",17,33.8,1.9
2016年度,24000,三重県,"577,441","205,918",16.9,32.2,2.9
2016年度,25000,滋賀県,"401,738","130,722",15.8,32.9,1.4
2016年度,26000,京都府,"461,219","117,381",17.1,34.7,2
2016年度,27000,大阪府,"190,514","133,058",17.7,35,3.4
2016年度,28000,兵庫県,"840,093","278,292",17.8,33.7,3.9
2016年度,29000,奈良県,"369,094","85,553",16,34.3,0.5
2016年度,30000,和歌山県,"472,471","111,513",17.7,33.9,3.6
2016年度,31000,鳥取県,"350,713","90,083",16,33,1.3
2016年度,32000,島根県,"670,804","129,886",15.9,32.2,1.5
2016年度,33000,岡山県,"711,447","221,886",16.6,34.3,0.8
2016年度,34000,広島県,"847,947","231,093",17.2,34.3,2.3
2016年度,35000,山口県,"611,234","170,678",16.5,34.2,0.7
2016年度,36000,徳島県,"414,679","101,034",17.6,33.9,3.5
2016年度,37000,香川県,"187,673","100,555",17.5,34.5,2.8
2016年度,38000,愛媛県,"567,619","167,322",17.6,34,3.2
2016年度,39000,高知県,"710,393","116,318",18.1,33.7,2.7
2016年度,40000,福岡県,"498,640","276,141",18.1,34.3,4.2
2016年度,41000,佐賀県,"244,068","133,561",17.9,35,2.6
2016年度,42000,長崎県,"413,220","167,628",18.1,33.7,4.2
2016年度,43000,熊本県,"740,944","279,622",18,35.1,2.2
2016年度,44000,大分県,"634,074","179,894",17.6,33.9,2.8
2016年度,45000,宮崎県,"773,531","184,987",18.6,32.7,3.9
2016年度,46000,鹿児島県,"918,699","331,286",19.6,34.4,5.4
2016年度,47000,沖縄県,"228,114","116,918",24.1,32.6,14.4
